att_w_US,const_st,wf_rec,coast_rec,first_st,oper,NEP,rel,met,moral,instr,oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_inst,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,comm_rel,wild_rel,iden_rel,kin_rel,health_rel2,other_rel,extract_r_ins,loss_r_ins,clean_inst,decade_r_mor,right_r_mor,kin_met,resp_met,iden_met,other_met,id_num,tech_r,gender,age,edu,income,employ,pol
4,1,3,2,4,1,3.60,2.83,3.25,3.00,3.33,1,4,1,3,2,4,3.33,4,4,2,4,4,4,2,3,4,2,2,3,3,4,2,4,2,4,4,3,R_0vPMCZv5m2HGGiN,2,1,33,6,11,1,2
4,4,3,3,3,2,3.80,4.00,3.00,4.00,3.67,2,4,4,3,3,3,3,4,4,4,3,4,4,4,4,,4,4,3,4,4,4,,3,3,2,4,R_0Vuxzafv7zVAfIx,2,1,22,4,2,5,5
4,4,3,2,2,2,3.20,3.83,2.50,4.00,3.67,2,4,4,3,2,2,3,3,4,3,4,2,4,3,4,4,4,4,2,4,5,4,4,1,3,2,4,R_0VwcmZkYWSpWUAZ,2,2,33,7,6,1,2
4,4,4,4,3,1,3.80,4.33,4.50,4.50,4.00,1,4,4,4,4,3,3.33,4,4,4,4,3,4,4,5,5,4,4,3,4,5,5,4,5,5,3,5,R_0wSgxCUGcd1bXKJ,2,1,33,6,8,4,3
5,4,3,3,3,2,4.60,3.67,2.00,4.50,4.33,2,5,4,3,3,3,3.67,5,5,5,3,5,4,3,4,3,4,4,4,4,5,4,5,1,3,1,3,R_1CebzxO1cVRmZql,3,1,45,6,6,1,3
5,4,3,4,4,2,4.00,4.17,3.75,4.00,3.67,2,5,4,3,4,4,3,5,4,4,4,3,4,4,4,5,4,4,2,4,5,4,4,4,4,3,4,R_1FiDWtIbMBT6AzH,1,1,37,7,6,1,5
5,4,3,3,3,2,4.40,2.83,2.25,3.50,3.67,2,5,4,3,3,3,3,5,4,5,4,4,4,2,2,2,3,4,2,4,5,3,4,1,3,1,4,R_1FzXdFvpLcrq56J,2,2,28,6,5,1,3
5,3,2,3,4,2,3.60,4.50,5.00,5.00,4.00,2,5,3,2,3,4,2.67,5,1,4,5,3,4,3,5,5,5,5,2,5,5,5,5,5,5,5,5,R_1GDT2JHtbi6pfet,3,2,61,6,6,6,3
4,3,3,2,3,1,3.20,3.00,3.00,3.00,3.33,1,4,3,3,2,3,3.33,3,3,3,4,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,3,R_1MlDClqRa9h7g5D,4,2,27,3,5,3,3
5,3,2,3,2,2,3.00,3.33,4.00,2.00,2.33,2,5,3,2,3,2,3,4,2,3,3,3,4,3,3,4,2,4,2,2,3,2,2,4,4,5,3,R_1NRgzUxHONK9Jtz,2,2,25,6,11,1,3
5,3,3,3,3,2,3.80,2.83,2.25,3.00,3.67,2,5,3,3,3,3,3,4,4,3,4,4,3,3,2,3,3,3,3,4,4,3,3,2,2,2,3,R_1OhvFkVJPErdUc5,4,2,21,4,6,1,1
4,3,3,3,3,2,2.60,3.33,2.75,4.00,4.00,2,4,3,3,3,3,2.67,4,3,2,2,2,3,2,3,4,4,4,2,5,5,4,4,1,5,1,4,R_1RgdZ3Vv2lNWZYV,2,1,39,4,10,4,5
5,4,3,3,5,2,5.00,4.50,4.00,5.00,4.33,2,5,4,3,3,5,3,5,5,5,5,5,4,5,5,5,3,5,3,5,5,5,5,4,5,4,3,R_1Sb0LO16Jx5TcCV,1,1,56,4,4,6,1
5,4,3,2,3,2,4.20,3.50,3.25,4.50,3.33,2,5,4,3,2,3,3.33,5,4,4,4,4,3,3,4,3,4,4,2,3,5,4,5,3,3,3,4,R_1UmdGA1GogGWe5n,3,2,33,5,5,1,5
4,3,2,2,4,2,3.80,3.50,3.00,3.00,3.33,2,4,3,2,2,4,3.33,4,4,3,4,4,3,2,3,4,4,5,2,3,5,3,3,3,3,1,5,R_1XkWisNy2AsUpZH,4,2,19,3,6,5,1
5,4,1,5,2,2,2.80,3.33,3.00,2.50,3.67,2,5,4,1,5,2,4.33,4,1,3,4,2,2,4,3,5,4,2,4,2,5,2,3,2,4,2,4,R_1XqfUEl4ZyIabvT,3,2,30,6,9,1,1
5,4,3,3,5,1,5.00,4.83,4.75,5.00,5.00,1,5,4,3,3,5,3.67,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,R_1YowFFJnbj4Cn09,2,1,24,6,6,2,5
5,4,3,5,3,2,3.40,4.83,3.75,4.00,4.00,2,5,4,3,5,3,2.67,4,4,4,3,2,5,4,5,5,5,5,2,5,5,4,4,3,4,4,4,R_244JNf9FXQ3l1Fr,2,1,49,4,6,1,2
4,4,3,2,3,2,3.80,3.33,2.75,4.00,3.67,2,4,4,3,2,3,3.67,4,4,4,3,4,4,2,3,4,3,4,4,3,4,4,4,2,4,1,4,R_244Quh8Fc3tsb0p,3,1,23,5,5,5,2
5,4,3,2,3,2,4.80,4.33,4.00,5.00,4.00,2,5,4,3,2,3,2.67,5,5,5,4,5,4,4,5,4,5,4,2,5,5,5,5,3,5,3,5,R_24SCiMOX1WrmTwV,1,2,20,4,1,5,3
4,4,3,2,3,2,3.80,3.67,4.25,3.50,4.00,2,4,4,3,2,3,3.33,4,3,5,3,4,3,4,4,4,2,5,3,4,5,3,4,4,5,5,3,R_25g5cHZf8qidvg1,3,2,19,4,11,5,3
5,4,3,4,4,2,4.00,4.00,2.75,3.00,3.00,2,5,4,3,4,4,3.67,5,3,4,5,3,4,4,4,3,4,5,2,2,5,3,3,2,3,2,4,R_25g7WY80OPq9fHT,3,2,30,6,8,1,3
4,4,3,4,3,2,3.20,3.67,4.00,3.50,3.67,2,4,4,3,4,3,3,3,4,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,R_25JOudIl1Bb2gOV,2,1,29,6,5,5,5
